id_mebla;nazwa;rodzaj;material
1;NOITARBELEC;komoda;bambus
2;ECNEREFNOC;pufa;tkanina
3;TNEMYOLPME;lozko;sklejka
4;REHTAFDNARG;regal;plastik
5;EETNARAUG;komoda;stal
6;ROTAREGIRFER;szafka;aluminium
7;NOITACIDNI;komoda;rattan
8;TNEMPOLEVED;biurko;stal
9;NOITCAFSITAS;witryna;skora
10;NOITCELES;szafka;sklejka
11;ECNARAEPPA;szafa;plastik
12;TNEMECALPER;szafka;beton
13;ECNATSBUS;stol;sklejka
14;NOITULOVER;biurko;beton
15;EGATNAVDA;szafki nocne;stal
16;ECNAMROFREP;witryna;drewno
17;YGOLOHCYSP;regal;drewno
18;NOITPECREP;stol;plastik
19;NOITANIMAXE;regal;kamien naturalny
20;MOORSSALC;szafka;drewno
21;ERUDECORP;regal;beton
22;NOITCELFER;szafki nocne;szklo
23;TNEMETICXE;krzeslo;szklo
24;YCNEGREME;regal;drewno
25;NOITAGILBO;pufa;stal
26;NOITIDNOC;regal;stal
27;ERUTRAPED;komoda;skora
28;NOITACILPPA;biurko;kamien naturalny
29;NOSIRAPMOC;fotel;bambus
30;TNEMTNIOPPA;komoda;plastik
31;REHTOMDNARG;szafki nocne;beton
32;GNIREENIGNE;krzeslo;drewno
33;REGNESSAP;stol;plastik
34;ECNACIFINGIS;stol;plastik
35;PIHSNOITALER;szafa;drewno
36;NOISUFNOC;biurko;beton
37;YTILIBISSOP;szafa;szklo
38;DNEIRFYOB;szafa;beton
39;ECNEREFFID;szafki nocne;beton
40;TEKRAMREPUS;biurko;plyta wiorowa
41;ECNEIREPXE;komoda;stal
42;ERUTARETIL;kanapa;kamien
43;TNEMNORIVNE;komoda;drewno
44;TNEMTRAPA;regal;kamien
45;ERUTANGIS;regal;skora
46;EETTIMMOC;szafa;plastik
47;NOITINGOCER;biurko;plastik
48;EVITAITINI;szafki nocne;plyta wiorowa
49;ECNATROPMI;szafki nocne;bambus
50;MSAISUHTNE;kanapa;kamien
51;TNEMNREVOG;szafa;skora
52;NOITNETTA;pufa;kamien
53;TNEMEGANAM;biurko;drewno
54;TNEMEVORPMI;witryna;drewno
55;PIHSREBMEM;biurko;beton
56;GNITEKRAM;pufa;rattan
57;EGNELLAHC;kanapa;drewno
58;NOITATUPER;fotel;stal
59;NOITACINUMMOC;pufa;stal
60;YTLUCIFFID;szafki nocne;kamien naturalny
