data	zarazenia	zgony	wyzdrowienia
1941-04-16	0	0	0
1941-04-17	2	0	0
1941-04-18	6	0	0
1941-04-19	9	0	0
1941-04-20	12	0	0
1941-04-21	12	0	0
1941-04-22	13	1	1
1941-04-23	19	4	2
1941-04-24	26	4	5
1941-04-25	31	8	4
1941-04-26	33	6	6
1941-04-27	32	8	5
1941-04-28	28	9	10
1941-04-29	26	19	7
1941-04-30	30	24	7
1941-05-01	27	18	15
1941-05-02	32	22	10
1941-05-03	30	15	13
1941-05-04	32	15	11
1941-05-05	41	13	17
1941-05-06	41	14	13
1941-05-07	37	21	11
1941-05-08	41	20	10
1941-05-09	45	13	19
1941-05-10	46	20	21
1941-05-11	49	23	18
1941-05-12	48	25	12
1941-05-13	53	29	12
1941-05-14	48	28	17
1941-05-15	50	29	17
1941-05-16	47	35	14
1941-05-17	47	38	10
1941-05-18	52	35	18
1941-05-19	53	31	17
1941-05-20	50	26	24
1941-05-21	55	26	21
1941-05-22	59	34	13
1941-05-23	58	33	19
1941-05-24	70	28	25
1941-05-25	60	37	13
1941-05-26	61	39	16
1941-05-27	60	35	24
1941-05-28	60	35	23
1941-05-29	65	44	26
1941-05-30	69	30	30
1941-05-31	79	28	33
1941-06-01	93	41	19
1941-06-02	78	45	15
1941-06-03	65	36	29
1941-06-04	57	41	28
1941-06-05	57	42	37
1941-06-06	58	66	27
1941-06-07	54	48	30
1941-06-08	52	52	13
1941-06-09	45	43	14
1941-06-10	54	28	29
1941-06-11	52	32	26
1941-06-12	59	33	21
1941-06-13	53	39	13
1941-06-14	66	29	16
1941-06-15	74	31	23
1941-06-16	84	27	25
1941-06-17	97	24	35
1941-06-18	102	23	30
1941-06-19	107	44	22
1941-06-20	109	43	31
1941-06-21	113	42	42
1941-06-22	132	64	33
1941-06-23	120	66	36
1941-06-24	121	81	26
1941-06-25	123	44	65
1941-06-26	143	81	32
1941-06-27	159	94	38
1941-06-28	139	79	41
1941-06-29	122	57	64
1941-06-30	143	63	60
1941-07-01	125	65	78
1941-07-02	133	123	36
1941-07-03	147	98	41
1941-07-04	126	76	46
1941-07-05	149	59	84
1941-07-06	168	83	42
1941-07-07	175	98	35
1941-07-08	204	100	47
1941-07-09	178	91	35
1941-07-10	209	98	51
1941-07-11	185	121	47
1941-07-12	205	90	85
1941-07-13	212	118	86
1941-07-14	229	76	102
1941-07-15	211	147	62
1941-07-16	235	89	96
1941-07-17	233	162	43
1941-07-18	278	118	94
1941-07-19	333	154	75
1941-07-20	371	110	101
1941-07-21	354	109	126
1941-07-22	390	120	113
1941-07-23	443	177	101
1941-07-24	424	151	182
1941-07-25	453	256	115
1941-07-26	452	144	210
1941-07-27	541	280	110
1941-07-28	588	309	134
1941-07-29	573	244	180
1941-07-30	625	211	242
1941-07-31	661	304	148
1941-08-01	669	397	144
1941-08-02	771	361	227
1941-08-03	865	388	185
1941-08-04	876	367	258
1941-08-05	945	472	189
1941-08-06	1069	340	329
1941-08-07	874	389	382
1941-08-08	1042	413	452
1941-08-09	978	413	379
1941-08-10	1072	528	417
1941-08-11	1034	550	614
1941-08-12	1077	600	379
1941-08-13	1074	766	276
1941-08-14	955	780	270
1941-08-15	1063	792	368
1941-08-16	1153	822	212
1941-08-17	1013	825	349
1941-08-18	880	570	504
1941-08-19	894	482	473
1941-08-20	963	841	222
1941-08-21	1099	568	585
1941-08-22	898	641	372
1941-08-23	867	636	244
1941-08-24	937	428	466
1941-08-25	1074	438	525
1941-08-26	1237	629	470
1941-08-27	1217	554	344
1941-08-28	1258	398	469
1941-08-29	1220	629	308
1941-08-30	1434	662	412
1941-08-31	1505	692	545
1941-09-01	1645	667	550
1941-09-02	1362	741	517
1941-09-03	1246	969	251
1941-09-04	1127	730	704
1941-09-05	1319	797	708
1941-09-06	1397	879	766
1941-09-07	1314	890	486
1941-09-08	1117	895	472
1941-09-09	1309	900	478
1941-09-10	1331	914	405
1941-09-11	1168	787	610
1941-09-12	943	835	479
1941-09-13	1061	566	551
1941-09-14	933	590	719
1941-09-15	812	853	478
1941-09-16	721	747	421
1941-09-17	778	437	506
1941-09-18	688	524	537
1941-09-19	772	542	391
1941-09-20	859	406	406
1941-09-21	876	439	282
1941-09-22	972	422	356
1941-09-23	890	467	221
1941-09-24	914	347	425
1941-09-25	1074	555	304
1941-09-26	952	405	471
1941-09-27	1062	503	469
1941-09-28	1032	450	440
1941-09-29	900	687	227
1941-09-30	922	610	464
1941-10-01	1043	552	400
1941-10-02	851	620	442
1941-10-03	941	510	522
1941-10-04	862	717	183
1941-10-05	796	735	187
1941-10-06	792	586	457
1941-10-07	872	633	218
1941-10-08	1035	558	383
1941-10-09	977	675	187
1941-10-10	974	349	447
1941-10-11	960	540	252
1941-10-12	957	567	305
1941-10-13	1044	621	414
1941-10-14	1109	437	540
1941-10-15	1027	681	293
1941-10-16	1051	559	401
1941-10-17	963	505	452
1941-10-18	870	662	382
1941-10-19	717	466	643
1941-10-20	655	464	563
1941-10-21	526	668	383
1941-10-22	561	530	433
1941-10-23	462	214	256
1941-10-24	462	338	379
1941-10-25	543	288	167
1941-10-26	553	268	258
1941-10-27	617	270	291
1941-10-28	619	291	171
1941-10-29	706	305	157
1941-10-30	740	222	321
1941-10-31	652	304	249
1941-11-01	616	465	152
1941-11-02	686	303	316
1941-11-03	760	450	256
1941-11-04	622	427	313
1941-11-05	621	320	332
1941-11-06	723	466	150
1941-11-07	663	401	285
1941-11-08	607	557	203
