id_zamowienia;id_klienta;id_mebla;data
1;156;23;2024-01-01
2;529;147;2024-01-02
3;457;71;2024-01-02
4;1494;100;2024-01-02
5;1069;55;2024-01-03
6;899;62;2024-01-03
7;1010;101;2024-01-04
8;17;70;2024-01-04
9;1331;68;2024-01-04
10;423;91;2024-01-04
11;598;103;2024-01-05
12;102;47;2024-01-06
13;1260;74;2024-01-06
14;928;86;2024-01-07
15;1117;24;2024-01-07
16;1220;41;2024-01-07
17;285;23;2024-01-07
18;1465;64;2024-01-08
19;1304;37;2024-01-09
20;719;84;2024-01-09
21;207;65;2024-01-09
22;32;51;2024-01-10
23;392;148;2024-01-10
24;1417;95;2024-01-11
25;1283;103;2024-01-11
26;1416;77;2024-01-12
27;670;106;2024-01-12
28;691;53;2024-01-12
29;973;77;2024-01-13
30;610;62;2024-01-13
31;548;131;2024-01-13
32;567;150;2024-01-13
33;576;102;2024-01-14
34;129;22;2024-01-14
35;567;149;2024-01-15
36;267;97;2024-01-15
37;306;91;2024-01-16
38;313;96;2024-01-16
39;445;13;2024-01-16
40;590;6;2024-01-16
41;468;83;2024-01-17
42;613;32;2024-01-18
43;1064;132;2024-01-18
44;1111;83;2024-01-19
45;3;143;2024-01-20
46;802;49;2024-01-20
47;421;5;2024-01-20
48;50;26;2024-01-20
49;296;76;2024-01-21
50;565;20;2024-01-21
51;807;118;2024-01-21
52;381;110;2024-01-22
53;517;96;2024-01-22
54;573;13;2024-01-22
55;1470;135;2024-01-22
56;966;68;2024-01-22
57;1125;46;2024-01-22
58;1282;125;2024-01-23
59;617;44;2024-01-23
60;1000;123;2024-01-23
61;517;102;2024-01-23
62;272;61;2024-01-23
63;935;4;2024-01-24
64;644;63;2024-01-24
65;1456;114;2024-01-24
66;419;70;2024-01-25
67;681;48;2024-01-25
68;972;69;2024-01-25
69;314;133;2024-01-25
70;1154;38;2024-01-25
71;123;73;2024-01-26
72;547;136;2024-01-26
73;98;50;2024-01-28
74;604;47;2024-01-28
75;655;108;2024-01-29
76;187;33;2024-01-29
77;410;14;2024-01-30
78;277;26;2024-01-30
79;640;59;2024-01-30
80;152;16;2024-01-30
81;1000;92;2024-01-30
82;1246;38;2024-01-30
83;242;113;2024-01-30
84;882;19;2024-01-31
85;1055;125;2024-02-01
86;1375;72;2024-02-01
87;131;1;2024-02-01
88;559;87;2024-02-02
89;1161;112;2024-02-02
90;1232;64;2024-02-03
91;1056;140;2024-02-03
92;43;103;2024-02-03
93;742;77;2024-02-03
94;344;131;2024-02-03
95;54;36;2024-02-03
96;629;81;2024-02-03
97;1043;146;2024-02-03
98;1442;58;2024-02-04
99;335;96;2024-02-04
100;757;122;2024-02-04
101;1101;73;2024-02-04
102;1224;27;2024-02-05
103;425;16;2024-02-05
104;793;66;2024-02-05
105;209;40;2024-02-05
106;719;47;2024-02-06
107;803;13;2024-02-06
108;2;36;2024-02-06
109;988;66;2024-02-06
110;1458;122;2024-02-07
111;377;61;2024-02-08
112;1345;98;2024-02-08
113;813;100;2024-02-08
114;1426;75;2024-02-08
115;151;140;2024-02-09
116;277;23;2024-02-09
117;1079;95;2024-02-09
118;816;128;2024-02-09
119;792;61;2024-02-10
120;370;148;2024-02-10
121;808;92;2024-02-10
122;1221;6;2024-02-10
123;661;137;2024-02-10
124;690;81;2024-02-11
125;1072;140;2024-02-11
126;1228;38;2024-02-12
127;1473;129;2024-02-12
128;1194;72;2024-02-12
129;1447;3;2024-02-12
130;1309;75;2024-02-12
131;643;103;2024-02-13
132;413;137;2024-02-14
133;114;108;2024-02-14
134;1239;10;2024-02-14
135;645;81;2024-02-14
136;633;25;2024-02-15
137;444;88;2024-02-15
138;399;87;2024-02-15
139;915;110;2024-02-16
140;199;51;2024-02-17
141;1037;52;2024-02-17
142;493;39;2024-02-17
143;594;3;2024-02-19
144;1468;16;2024-02-19
145;925;75;2024-02-20
146;432;14;2024-02-20
147;1145;148;2024-02-21
148;1204;94;2024-02-21
149;313;39;2024-02-21
150;646;78;2024-02-21
151;518;94;2024-02-21
152;555;150;2024-02-21
153;1019;75;2024-02-22
154;740;95;2024-02-22
155;237;37;2024-02-22
156;955;39;2024-02-23
157;334;132;2024-02-23
158;341;146;2024-02-23
159;1092;69;2024-02-24
160;776;73;2024-02-24
161;1052;29;2024-02-24
162;1295;22;2024-02-25
163;217;118;2024-02-25
164;274;38;2024-02-25
165;203;45;2024-02-26
166;1161;28;2024-02-26
167;1313;17;2024-02-26
168;873;46;2024-02-27
169;269;122;2024-02-27
170;626;51;2024-02-27
171;539;74;2024-02-27
172;89;148;2024-02-28
173;854;130;2024-02-29
174;997;99;2024-02-29
175;657;142;2024-02-29
176;987;7;2024-02-29
177;592;26;2024-03-01
